"diff","lwr","upr","p adj"
-0.00225754838709674,-0.0210869328640027,0.0165718360898092,0.999957028191786
0.000939806451612873,-0.0178895780252931,0.0197691909285188,0.999999898842988
0.0355795161290322,0.0167501316521263,0.0544089006059382,6.47806464582068e-07
0.0230630322580646,0.00423364778115858,0.0418924167349705,0.00545866622884295
0.000783870967742004,-0.018045513509164,0.019613255444648,0.999999971440811
0.0157024193548388,-0.00312696512206722,0.0345318038317447,0.179953850827431
0.0338903870967742,0.0150610026198683,0.0527197715736802,2.63231738983905e-06
0.00319735483870962,-0.0156320296381964,0.0220267393156156,0.999555518093927
0.037837064516129,0.019007680039223,0.056666448993035,9.21366399841972e-08
0.0253205806451613,0.00649119616825532,0.0441499651220673,0.00137686929731318
0.00304141935483875,-0.0157879651220672,0.0218708038317447,0.999680805328623
0.0179599677419355,-0.000869416734970482,0.0367893522188415,0.073756040400931
0.036147935483871,0.017318551006965,0.054977319960777,3.99654558780327e-07
0.0346397096774194,0.0158103252005134,0.0534690941543254,1.42209218756406e-06
0.0221232258064517,0.00329384132954571,0.0409526102833577,0.00932035657034813
-0.00015593548387087,-0.0189853199607768,0.0186734489930351,0.999999999999813
0.0147626129032259,-0.0040667715736801,0.0335919973801319,0.247375238253545
0.0329505806451614,0.0141211961682554,0.0517799651220674,5.61669440979351e-06
-0.0125164838709677,-0.0313458683478737,0.00631290060593828,0.462126374492105
-0.0347956451612902,-0.0536250296381962,-0.0159662606843843,1.24949135971164e-06
-0.0198770967741935,-0.0387064812510995,-0.00104771229728752,0.0303321758829909
-0.001689129032258,-0.020518513509164,0.017140255444648,0.999994104826629
-0.0222791612903225,-0.0411085457672285,-0.00344977681341658,0.00854255490634581
-0.0073606129032258,-0.0261899973801318,0.0114687715736802,0.932669964778408
0.0108273548387097,-0.00800202963819628,0.0296567393156157,0.648785953806308
0.0149185483870967,-0.00391083608980923,0.0337479328640027,0.235182433489814
0.0331065161290322,0.0142771316521263,0.0519359006059382,4.95856974946918e-06
0.0181879677419355,-0.000641416734970476,0.0370173522188415,0.0667637440109808
